fecha	fácil	medio	difícil
20042025	1:40	8:29	10:23
19042025	1:38	6:13	8:23
18042025	1:19	8:13	12:37
17042025	1:30	4:47	7:29
16042025	1:43	8:55	14:38
15042025	1:32	9:11
14042025	1:46	11:02	14:18
13042025	1:28	8:46	9:14
12042025	1:41	6:59
10042025	1:42	6:12	18:12
09042025	1:31	8:18
08042025	1:39	7:00	19:43
06042025	1:31	11:03	14:23
04042025	2:13	10:12
03042025	2:14	8:08	16:19
02042025	1:42	9:03	
01042025	1:35	6:21	14:35	
31032025	1:41	8:32	12:41	
30032025	1:36	7:26	15:30
29032025	2:05	11:01	7:46
28032025	3:47	10:07	10:00
27032025	2:16	9:05	23:36
26032025	2:04	10:12	
25032025	1:54	8:37	9:51
24032025	2:06	8:55	
23032025	2:04	11:34	10:23
22032025	1:35	9:33	9:25
20032025	2:19	10:02	12:22
19032025	2:06	14:27	9:36
18032025	1:57	12:27	22:54
17032025	2:07	9:10
16032025	1:52	10:05	13:07
15032025	1:46	9:47	
14032025	2:12	8:56	13:20
13032025	2:14	9:52	16:43
12032025	2:38	6:41	11:55
11032025	2:45	8:26	7:35
10032025	2:22	8:27	
09032025	2:24	8:30	10:41
08032025	1:28	8:08	18:56
07032025	2:19	7:47	8:27
25122024	3:48	17:49	20:03
26122024	2:10	19:05	19:41
27122024	3:39	12:56	18:38
28122024	4:27	13:56
29122024	3:24	22:39	21:11
30122024	3:58	14:29	17:49
31122024	3:04
01012025	2:45	16:03
02012025	3:07	15:11	16:56
03012025	3:20
04012025	2:29	10:43	13:07
05012025	2:10	15:45	22:13
06012025	1:55	9:56
07012025	2:17	10:18	29:38
08012025	2:31	16:57	22:55
09012025	2:48	17:45	16:48
10012025	2:03	11:01	16:14
11012025	3:42	9:32
12012025	2:12	10:13
13012025	1:58	22:21	16:46
14012025	1:59	16:25
15012025	1:59	7:04	28:46
16012025	2:46	18:54	22:16
17012025	2:21	12:43	16:38
18012025	2:34	13:13	22:54
19012025	2:27	10:16	14:25
20012025	3:55	18:05
21012025	2:03	6:03	17:12
22012025	2:18	19:03	18:46
23012025	2:44	16:35	22:06
24012025	2:04	7:55
25012025	2:21	13:13	16:05
26012025	3:03	8:09	20:26
27012025	2:58	11:41	11.56
28012025	2:05	17:51
29012025	2:26	10:35	14:37
30012025	2:02	11:11	15:00
31012025	2:15	7:02	10:23
01022025	1:59	12:38	16:18
02022025	3:51	10:24	14:30
03022025	2:17	8:47	11:53
04022025	2:22	7:33	12:30
05022025	1:59	11:03	17:12
06022025	2:17	8:55
07022025	2:20	7:28	19:33
08022025	2:42	11:09	8:16
09022025	2:40	12:20
10022025	2:32	8:32	12:33
11022025	3:09	11:00	14:21
12022025	2:22	7:47	8:49
13022025	1:55	9:02	10:49
14022025	2:30	6:15	11:35
15022025	2:08	11:57
16022025	2:01	7:24	11:37
17022025	2:17	9:48	19:16
18022025	2:24	11:41	10:15
19022025	2:29	8:22	17:34
20022025	2:37	12:15	8:56
21022025	2:52	10:56	16:00
22022025	2:44	7:44	16:02
23022025	2:25	9:59	11:54
24022025	1:50	7:22	14:55
25022025	2:14	13:14	13:42
26022025	2:36	9:03	14:54
27022025	2:50	8:01
28022025	2:42	9:49	11:35
01032025	1:56	12:21	8:52
02032025	2:10	7:27	8:54
03032025	2:31	8:28	6:13
04032025	2:30	8:12	8:17
05032025	2:20	8:43	12:34
06032025	2:19	14:30	17:09
